name,price,Special Price,Discount %,product
Speedo Vanquisher 2.0 Swimming Goggles,899,799,11.12,Premium swimming goggles with UV protection
Arena Cobra Ultra Swipe Racing Goggles,2499,2199,12.00,Professional racing goggles with anti-fog
TYR Socket Rockets 2.0 Goggles,699,599,14.31,Comfortable training goggles for daily use
Speedo Fastskin Elite Swimming Cap,499,449,10.02,Hydrodynamic silicone racing cap
Arena Powerfin Pro Training Fins,1899,1699,10.53,Short blade fins for technique training
FINIS Swimmers Snorkel,1299,1099,15.40,Center-mount snorkel for stroke development
Speedo Aquapulse Pro Swimming Goggles,1299,1099,15.40,Mirror lens goggles for outdoor swimming
TYR Tracer X Racing Goggles,1799,1599,11.12,Low profile racing goggles
Arena Tracks Swimming Goggles,799,699,12.52,Versatile training and fitness goggles

