name,description,city,province,price
Gelora Bung Karno Track,Sebuah lintasan lari modern di tengah Jakarta dengan permukaan sintetis berkualitas dan pemandangan stadion megah,Jakarta Pusat,DKI Jakarta,89000
Saparua Running Loop,Trek legendaris dengan pepohonan rindang yang populer di kalangan pelari Bandung,Bandung,Jawa Barat,72000
Lapangan Banteng Circuit,Trek kota yang dikelilingi taman bersejarah dan arsitektur kolonial,Jakarta Pusat,DKI Jakarta,75000
Pakuwon Sports Track,Trek dengan fasilitas penerangan malam dan area gym terbuka,Surabaya,Jawa Timur,93000
Manahan Athletics Field,Lapangan dengan lintasan karet berstandar nasional dan tribun luas,Solo,Jawa Tengah,82000
Brawijaya Running Arena,Trek outdoor dengan suasana kampus dan udara sejuk,Malang,Jawa Timur,68000
Senayan Riverside Path,Trek sepanjang sungai dengan area jogging modern,Jakarta Selatan,DKI Jakarta,88000
Sabuga Fitness Track,Lintasan lembut berpemandangan gunung dan udara segar,Bandung,Jawa Barat,99000
Lapangan Karebosi Trail,Trek bersejarah dengan suasana kota dan taman hijau,Makassar,Sulawesi Selatan,70000
Samudera Athletics Park,Trek tepi laut dengan pemandangan ombak dan semilir angin,Padang,Sumatera Barat,94000
Ngurah Rai Running Stadium,Lapangan dengan pemandangan tropis dan area latihan terbuka,Denpasar,Bali,81000
Pajajaran Loopway,Trek perkotaan dengan rute melingkar dan pohon besar,Bogor,Jawa Barat,71000
Taman Bungkul Sprint Track,Trek tengah kota dengan area kuliner dan tempat istirahat,Surabaya,Jawa Timur,76000
Diponegoro Sports Field,Trek serbaguna dekat kampus dengan permukaan elastis,Yogyakarta,DI Yogyakarta,85000
Sriwedari Runners Park,Area lari hijau dengan jalur karet dan suasana tenang,Solo,Jawa Tengah,96000
Mandala Krida Loop,Trek stadion legendaris dengan atmosfer kompetisi atletik,Yogyakarta,DI Yogyakarta,88000
Batu Highland Track,Trek pegunungan dengan udara dingin dan panorama alam,Batu,Jawa Timur,95000
Tondano Lakeside Trail,Jalur lari di tepi danau indah dengan suasana alami,Manado,Sulawesi Utara,78000
Sudirman Fitness Route,Rute lari perkotaan dengan jalur teduh di bawah gedung tinggi,Jakarta Selatan,DKI Jakarta,83000
Andalas Sprint Path,Trek datar dengan area pemanasan luas dan toilet modern,Padang,Sumatera Barat,69000
Cimahi City Track,Trek ramah pemula dengan penanda jarak jelas dan fasilitas air,Cimahi,Jawa Barat,74000
Benteng Vastenburg Circuit,Trek bersejarah dengan latar bangunan kolonial kuno,Solo,Jawa Tengah,91000
Tegalega Runners Path,Jalur lari terbuka dengan pepohonan rindang dan suasana ramai,Bandung,Jawa Barat,88000
Jember Athletics Corner,Lapangan dengan permukaan sintetis dan fasilitas modern,Jember,Jawa Timur,70000
Bumi Serpong Damai Loop,Trek urban dengan pemandangan danau buatan dan taman,Tangerang Selatan,Banten,89000
Palembang Sports Circle,Trek di kompleks olahraga modern dengan standar internasional,Palembang,Sumatera Selatan,93000
Balikpapan Bay Track,Trek tepi pantai dengan angin laut dan pemandangan indah,Balikpapan,Kalimantan Timur,98000
Kebun Raya Jogging Route,Rute lari di dalam kebun raya dengan udara segar dan hijau,Bogor,Jawa Barat,94000
Semarang City Sprint Track,Trek perkotaan dengan pemandangan kota dan gedung heritage,Semarang,Jawa Tengah,76000
Pontianak Equator Path,Trek unik di garis khatulistiwa dengan suasana tropis,Pontianak,Kalimantan Barat,97000
Lampung Coastal Track,Trek pantai dengan hamparan pasir putih dan angin sepoi,Bandar Lampung,Lampung,92000
Kupang Seaside Track,Jalur lari tepi laut dengan panorama senja indah,Kupang,Nusa Tenggara Timur,84000
Jayapura Skyline Trail,Trek menanjak dengan panorama Teluk Youtefa yang menakjubkan,Jayapura,Papua,100000
Rumbai Athletics Loop,Lintasan rapi di tengah kompleks olahraga berfasilitas lengkap,Pekanbaru,Riau,77000
Cibubur Forest Run,Trek di tengah hutan kota dengan udara segar dan jalur alami,Depok,Jawa Barat,81000
Cirebon Heritage Loop,Trek mengelilingi taman kota dengan arsitektur klasik,Cirebon,Jawa Barat,89000
Mataram Sports Field,Lapangan besar dengan jalur karet merah dan fasilitas latihan,Mataram,Nusa Tenggara Barat,80000
Samarinda Fitness Park,Trek ramah komunitas dengan area peregangan dan taman hijau,Samarinda,Kalimantan Timur,73000
Purwokerto Runners Zone,Trek tenang dengan suasana kampus dan pepohonan rindang,Purwokerto,Jawa Tengah,86000
Ambon Bay Athletics Track,Lintasan tepi laut dengan pemandangan teluk dan udara segar,Ambon,Maluku,99000
