name,description,city,province,price
Velodrome Rawamangun,Trek sepeda berstandar internasional dengan lintasan halus dan fasilitas latihan profesional,Jakarta Timur,DKI Jakarta,95000
Sudirman City Loop,Jalur sepeda perkotaan yang melintasi kawasan bisnis dan taman kota,Jakarta Pusat,DKI Jakarta,70000
Cycling Park Sentul,Jalur sepeda berbukit dengan pemandangan hutan tropis dan udara segar,Bogor,Jawa Barat,85000
Cikole Forest Trail,Jalur sepeda gunung di tengah hutan pinus dengan tanjakan menantang,Bandung,Jawa Barat,88000
Kenjeran Coastal Ride,Jalur sepeda tepi laut dengan pemandangan Selat Madura yang menawan,Surabaya,Jawa Timur,82000
Batur Volcano Loop,Jalur sepeda ekstrem mengelilingi Gunung Batur dengan pemandangan danau,Denpasar,Bali,97000
Prambanan Heritage Route,Jalur sepeda wisata melewati situs sejarah dan pedesaan asri,Yogyakarta,DI Yogyakarta,90000
Bukit Pelangi Trail,Jalur sepeda berbukit dengan kontur menantang dan panorama hijau,Cianjur,Jawa Barat,75000
Mandala Krida Circuit,Trek sepeda perkotaan dengan lintasan halus untuk latihan kecepatan,Yogyakarta,DI Yogyakarta,73000
Tugu Pahlawan Ride,Jalur sepeda kota dengan titik start di area monumen ikonik,Surabaya,Jawa Timur,70000
Bedugul Highland Path,Jalur sepeda alam di dataran tinggi dengan udara dingin dan pemandangan danau,Buleleng,Bali,95000
Mandalika Cycling Loop,Trek pesisir yang mengelilingi sirkuit Mandalika dengan tanjakan ringan,Praya,Nusa Tenggara Barat,92000
Taman Hutan Raya Trail,Jalur sepeda dalam kawasan konservasi dengan pohon besar dan jalan tanah,Bandung,Jawa Barat,78000
Paralayang Hill Ride,Jalur menanjak menuju area paralayang dengan pemandangan kota di bawah,Cisarua,Jawa Barat,88000
Pantai Losari Coastal Loop,Jalur sepeda sepanjang pantai dengan udara laut segar,Makassar,Sulawesi Selatan,85000
Tebing Breksi Route,Jalur sepeda wisata dengan pemandangan batu kapur dan lanskap terbuka,Sleman,DI Yogyakarta,76000
Bromo Adventure Route,Trek sepeda ekstrem melewati pasir dan lereng gunung,Bromo,Jawa Timur,97000
Puncak Pass Climb,Jalur tanjakan curam di kawasan pegunungan yang cocok untuk latihan endurance,Puncak,Jawa Barat,93000
Lapangan Banteng Circuit,Trek sepeda kota dengan jalur melingkar dan area hijau terbuka,Jakarta Pusat,DKI Jakarta,68000
Kampung Laut Ride,Jalur sepeda di pinggiran laut dengan jembatan kayu dan panorama mangrove,Cilacap,Jawa Tengah,79000
Bukit Doa Trail,Jalur sepeda di kawasan bukit tenang dengan jalan menanjak ringan,Manado,Sulawesi Utara,87000
Ciputra Greenway,Jalur sepeda modern di kawasan perumahan hijau dengan fasilitas lengkap,Surabaya,Jawa Timur,74000
Ambarawa Lake Route,Jalur sepeda melingkar di sekitar danau dengan udara segar dan pemandangan gunung,Ambarawa,Jawa Tengah,90000
Taman Mini Cycling Loop,Jalur sepeda edukatif di kawasan taman budaya Indonesia,Jakarta Timur,DKI Jakarta,72000
Gili Trawangan Ride,Jalur sepeda pantai tanpa kendaraan bermotor mengelilingi pulau,Gili Trawangan,Nusa Tenggara Barat,95000
Sawangan Riverside Trail,Jalur sepeda sepanjang sungai dengan pepohonan rindang,Depok,Jawa Barat,80000
Pantai Pandawa Loop,Jalur sepeda tepi pantai dengan tanjakan curam dan panorama laut biru,Kuta Selatan,Bali,97000
Rawapening Scenic Ride,Jalur sepeda di tepi danau dengan pemandangan sawah dan perahu nelayan,Salatiga,Jawa Tengah,86000
Baluran National Ride,Jalur sepeda alam melewati savana dan hutan kering tropis,Situbondo,Jawa Timur,88000
Cibubur City Loop,Jalur sepeda perkotaan dengan lintasan datar dan area aman untuk pemula,Jakarta Timur,DKI Jakarta,65000
Borobudur Heritage Ride,Jalur sepeda wisata mengelilingi candi dan desa tradisional,Magelang,Jawa Tengah,89000
Lake Toba Highland Trail,Jalur sepeda di tepi danau terbesar Indonesia dengan udara pegunungan,Balige,Sumatera Utara,95000
Taman Bunga Nusantara Track,Jalur sepeda di dalam taman bunga luas dengan pemandangan warna-warni,Cianjur,Jawa Barat,87000
Sentani Lake Ride,Jalur sepeda mengitari danau alami dengan udara segar dan suasana damai,Jayapura,Papua,97000
Ragunan Forest Loop,Jalur sepeda dalam kawasan hutan kota dengan udara segar dan satwa liar,Jakarta Selatan,DKI Jakarta,75000
Samosir Island Ride,Jalur sepeda mengelilingi pulau di tengah Danau Toba dengan pemandangan spektakuler,Samosir,Sumatera Utara,96000
Bukittinggi Hill Trail,Jalur sepeda menanjak dengan pemandangan lembah dan pegunungan, Bukittinggi,Sumatera Barat,88000
Tawangmangu Forest Path,Jalur sepeda di area hutan sejuk dengan tanjakan lembut dan udara segar,Karanganyar,Jawa Tengah,82000
Pelabuhan Ratu Coastal Ride,Jalur sepeda pantai dengan kontur naik turun dan pemandangan ombak besar,Sukabumi,Jawa Barat,89000
Balikpapan Bay Route,Jalur sepeda pesisir dengan pemandangan laut dan area dermaga,Balikpapan,Kalimantan Timur,91000
