name,main_category,image,ratings,no_of_ratings,actual_price
Force-Ten Elite Boxing Shoes,Mens Sports Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91lbD9IJY6L._AC_UL320_.jpg,4.7,4.0,2050.0
Klepe Unisex-Child St-k-7006 Running Shoe,Mens Sports Shoes,https://m.media-amazon.com/images/I/814gclhe9qL._AC_UL320_.jpg,4.6,5.0,1499.0
"Nike Kids Air Jordan 1 Retro High OG GS Basketball Shoe, Dk Marina Blue/Black-white, 3.5",Mens Sports Shoes,https://m.media-amazon.com/images/I/61RqStxv54L._AC_UL320_.jpg,5.0,5.0,26997.3
Puma Men NRGY Neko Retro Running Shoes,Mens Sports Shoes,https://m.media-amazon.com/images/I/71MCSj7b3vL._AC_UL320_.jpg,4.2,115.0,5999.0
Adidas Men Drogo 2.0 M Running Shoes,Mens Sports Shoes,https://m.media-amazon.com/images/I/81rtonBvsKL._AC_UL320_.jpg,4.0,612.0,2699.0
Puma mens Snatch V2 Sneaker,Mens Sports Shoes,https://m.media-amazon.com/images/I/715m7pidGnL._AC_UL320_.jpg,4.0,1881.0,4299.0
Nike Sb Stefan Janoski Max L Mens Trainers 685299 Sneakers Shoes 002,Mens Sports Shoes,https://m.media-amazon.com/images/I/815JgCAlG3L._AC_UL320_.jpg,4.0,1.0,10395.0
Adidas Mens Terrex Trailmaker Primegreen Hiking Shoe,Mens Sports Shoes,https://m.media-amazon.com/images/I/81Xc9rHOu7L._AC_UL320_.jpg,4.2,19.0,9999.0
Adidas Men's Solar Glide 5 M Leather Running Shoe,Mens Sports Shoes,https://m.media-amazon.com/images/I/71G41JyuMxL._AC_UL320_.jpg,4.1,73.0,13999.0
Reebok Men's Energy Runner LP Nacho/Conavy/None Running Shoes,Mens Sports Shoes,https://m.media-amazon.com/images/I/41dXa2CVvPL._AC_UL320_.jpg,4.0,2819.0,2499.0
Red Tape Men Nordic Walking Shoes,Mens Sports Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yybw+jZwL._AC_UL320_.jpg,3.3,11.0,5395.0
PREMIER CLEATS FOOTBALL,Mens Sports Shoes,https://m.media-amazon.com/images/I/51xLuN0He+L._AC_UL320_.jpg,3.6,508.0,799.0
"Victall Badminton Shoes Light Weight & Comfortable PU Material Non Marking Sole Best in Badminton Shoes, Volleyball Shoes,...",Mens Sports Shoes,https://m.media-amazon.com/images/I/71ZFITt8s6L._AC_UL320_.jpg,3.7,23.0,849.0
Campus boys Prestige Running Shoe; Sport shoe,Mens Sports Shoes,https://m.media-amazon.com/images/I/71YtyxIGAuL._AC_UL320_.jpg,3.1,9.0,1699.0
