name,description,city,province,price
Kolam Renang Gelora Bung Karno,Kolam renang berstandar internasional dengan fasilitas modern dan pemandangan stadion megah,Jakarta Pusat,DKI Jakarta,85000
Kolam Renang Umbul Sidomukti,Kolam renang alam di lereng gunung dengan air pegunungan yang jernih dan udara sejuk,Semarang,Jawa Tengah,70000
Kolam Renang Tirtamas,Kolam renang dengan berbagai wahana air dan area bersantai keluarga,Depok,Jawa Barat,60000
Kolam Renang Paragon Aqua Park,Tempat rekreasi air modern dengan kolam kompetisi dan seluncuran besar,Surabaya,Jawa Timur,90000
Kolam Renang Cikole Highland,Kolam renang outdoor di tengah hutan pinus dengan pemandangan menakjubkan,Bandung,Jawa Barat,95000
Kolam Renang Tirta Kencana,Kolam air jernih dengan taman tropis di sekelilingnya,Bogor,Jawa Barat,75000
Kolam Renang Tirta Mas,Kolam semi-olimpik dengan area pelatihan atletik dan tribun penonton,Palembang,SUMATERA SELATAN,85000
Kolam Renang Tirta Ria,Tempat berenang keluarga dengan taman bermain anak dan kolam arus,Yogyakarta,DI Yogyakarta,70000
Kolam Renang Pantai Mutiara,Kolam renang tepi laut dengan pemandangan Teluk Jakarta,Jakarta Utara,DKI Jakarta,90000
Kolam Renang Taman Dayu,Kolam renang eksklusif di area perbukitan dengan udara segar dan desain elegan,Pasuruan,Jawa Timur,88000
Kolam Renang Tirta Sari,Kolam renang berair hangat alami yang cocok untuk relaksasi malam hari,Malang,Jawa Timur,92000
Kolam Renang Bukit Hijau,Kolam renang infinity dengan panorama kota di ketinggian,Denpasar,Bali,95000
Kolam Renang Aqua Mandala,Kolam dengan desain tradisional Bali dan taman air yang luas,Ubud,Bali,87000
Kolam Renang Bahagia Lestari,Kolam keluarga yang dilengkapi gazebo dan area BBQ,Bekasi,Jawa Barat,65000
Kolam Renang Nirwana Hills,Kolam renang resort dengan air biru kristal dan suasana tropis,Cianjur,Jawa Barat,78000
Kolam Renang Tirta Indah,Kolam indoor dengan suhu air terkontrol sepanjang tahun,Medan,Sumatera Utara,85000
Kolam Renang Palem Asri,Kolam renang di tengah taman kelapa dengan suasana alami,Pekanbaru,Riau,76000
Kolam Renang Golden Wave,Kolam renang berkonsep modern minimalis dengan fasilitas gym dan sauna,Surakarta,Jawa Tengah,83000
Kolam Renang Tirta Alam,Kolam dengan air alami yang dialirkan langsung dari sumber mata air,Probolinggo,Jawa Timur,78000
Kolam Renang Taman Tirta,Kolam outdoor dengan taman bunga dan area rekreasi keluarga,Tangerang,Banten,74000
Kolam Renang Ocean Breeze,Kolam renang rooftop dengan pemandangan laut lepas,Manado,Sulawesi Utara,97000
Kolam Renang Ciputra Waterpark,Kolam besar dengan berbagai wahana seluncur dan area anak,Surabaya,Jawa Timur,88000
Kolam Renang Bukit Palma,Kolam renang semi-olimpik dengan area santai dan kolam anak,Semarang,Jawa Tengah,78000
Kolam Renang Tirta Giri,Kolam alami di kaki gunung dengan udara sejuk dan air jernih,Garut,Jawa Barat,90000
Kolam Renang Puncak Asri,Kolam renang dengan panorama pegunungan dan udara segar,Cisarua,Jawa Barat,95000
Kolam Renang Bintang Laut,Kolam renang tepi pantai dengan desain menyerupai laguna alami,Padang,Sumatera Barat,89000
Kolam Renang Tirta Bahari,Kolam renang dengan pemandangan laut dan area snorkeling mini,Ambon,Maluku,92000
Kolam Renang Lembah Biru,Kolam renang alami dengan pemandangan lembah dan bukit hijau,Batu,Jawa Timur,83000
Kolam Renang Seruni,Kolam renang bergaya tradisional dengan ornamen Jawa klasik,Klaten,Jawa Tengah,70000
Kolam Renang Tirta Dewi,Kolam renang keluarga dengan taman tropis dan air mancur artistik,Bandung Barat,Jawa Barat,78000
Kolam Renang Grand Aqua,Kolam renang modern di area perkotaan dengan fasilitas premium,Jakarta Selatan,DKI Jakarta,90000
Kolam Renang Kenari Park,Kolam renang terbuka dengan pohon-pohon rindang di sekelilingnya,Palangkaraya,Kalimantan Tengah,85000
Kolam Renang Taman Melati,Kolam renang dengan air bersih dan fasilitas food court,Bandar Lampung,Lampung,72000
Kolam Renang Tirta Mandiri,Kolam renang berstandar nasional dengan pelatih profesional,Surabaya,Jawa Timur,85000
Kolam Renang Nirwana Aqua,Kolam renang dengan pemandangan sawah dan bukit hijau,Ubud,Bali,97000
Kolam Renang Bukit Asih,Kolam renang outdoor dengan air alami dari mata air pegunungan,Sukabumi,Jawa Barat,89000
Kolam Renang Giri Loka,Kolam renang semi-olimpik dengan area pelatihan renang anak,Magelang,Jawa Tengah,74000
Kolam Renang Tirta Harmoni,Kolam renang dengan konsep resort lengkap dengan spa dan resto,Bogor,Jawa Barat,95000
Kolam Renang Blue Horizon,Kolam renang rooftop hotel dengan panorama kota yang memukau,Balikpapan,Kalimantan Timur,97000
Kolam Renang Lembah Tirta,Kolam renang di tengah lembah hijau dengan air alami dari sumber mata air,Banyuwangi,Jawa Timur,88000
